 Date= 1234 UT=56789. Lat=  0.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA= 56.7 LST=15.77 Dip= 22.7 Clat= -7.7 Clon=   1.5 CSZA= 60.2 Ec= 0.006 Ie=0
  Z     Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
 146.0   66.1   57.6    2.5  276.3   62.3    1.9  211.2   14.4   28.2   48.5
 148.0   67.1   59.7    2.8  280.2   65.2    2.2  220.8   15.1   29.5   50.4
 150.0   67.7   61.6    3.1  282.7   68.3    2.6  229.0   15.7   30.7   52.1
 153.0   67.8   64.2    3.6  283.8   73.5    3.1  239.2   16.3   32.2   54.1
 156.0   67.1   66.5    4.1  282.4   79.2    3.8  246.4   16.8   33.3   55.6
 159.0   65.8   68.3    4.6  278.7   85.2    4.5  250.8   17.1   34.2   56.6
 162.0   63.9   69.8    5.1  273.0   91.6    5.2  252.6   17.3   34.7   57.1
 165.0   61.6   71.0    5.6  265.7   98.2    6.0  252.2   17.2   35.0   57.2
 168.0   59.0   71.8    6.0  256.9  104.9    6.8  249.7   17.1   35.0   56.9
 172.0   55.3   72.5    6.6  243.6  114.1    8.0  243.8   16.7   34.7   56.1
 176.0   51.3   72.6    7.1  228.8  123.2    9.3  235.5   16.1   34.2   54.9
 180.0   47.3   72.3    7.6  213.0  132.1   10.6  225.3   15.4   33.4   53.3
 185.0   42.4   71.5    8.0  192.8  142.9   12.2  211.0   14.4   32.2   51.1
 190.0   37.8   70.1    8.4  172.8  152.9   13.9  195.6   13.4   30.7   48.6
 195.0   33.4   68.4    8.6  153.5  161.9   15.6  179.8   12.3   29.2   45.9
 200.0   29.4   66.3    8.8  135.4  169.9   17.3  164.2   11.2   27.6   43.3
 205.0   25.8   65.2    8.7  114.5  166.1   19.0  147.3   10.1   26.0   40.6
 211.0   22.0   63.8    8.7   94.1  163.0   20.9  128.5    8.8   24.1   37.5
 217.0   18.6   62.1    8.7   77.6  160.0   22.8  111.3    7.6   22.2   34.5
 223.0   15.7   59.7    8.6   65.5  159.7   24.3   96.8    6.6   20.4   31.6
 230.0   12.8   56.7    8.4   52.8  154.3   25.9   81.8    5.6   18.4   28.5
 237.0   10.3   52.7    7.9   41.6  144.9   26.9   69.7    4.8   16.5   25.5
 244.0    8.2   48.2    7.2   32.2  133.0   27.5   59.5    4.1   14.6   22.7
 252.0    6.2   42.7    6.3   23.9  119.1   27.5   49.9    3.4   12.5   19.7
 260.0    4.7   36.8    5.3   17.9  105.1   26.8   42.1    2.9   10.6   17.0
 268.0    3.5   30.7    4.4   13.6   90.9   25.5   35.5    2.4    8.9   14.5
 276.0    2.5   24.8    3.7   10.5   78.3   23.7   30.0    2.0    7.4   12.3
 284.0    1.9   19.3    3.0    8.2   67.5   21.5   25.1    1.7    6.1   10.4
 292.0    1.3   14.7    2.5    6.5   57.7   19.1   20.7    1.4    5.0    8.6
 300.0    1.0   10.9    2.0    5.2   48.6   16.7   16.8    1.1    4.1    7.2
 309.0    0.7    7.9    1.5    4.0   39.0   14.4   13.0    0.9    3.2    5.8
 318.0    0.5    5.8    1.1    3.1   30.6   12.3    9.9    0.7    2.5    4.6
 327.0    0.3    4.3    0.8    2.3   23.6   10.6    7.5    0.5    2.0    3.7
 336.0    0.2    3.2    0.6    1.8   18.0    9.1    5.6    0.4    1.6    3.0
 345.0    0.2    2.4    0.5    1.3   13.6    7.8    4.2    0.3    1.2    2.4
 355.0    0.1    1.7    0.3    1.0    9.9    6.6    3.0    0.2    0.9    1.8
 365.0    0.1    1.2    0.2    0.7    7.2    5.6    2.2    0.1    0.7    1.4
 375.0    0.0    0.9    0.2    0.5    5.2    4.7    1.6    0.1    0.6    1.1
 385.0    0.0    0.7    0.1    0.4    3.7    4.0    1.1    0.1    0.4    0.9
 395.0    0.0    0.5    0.1    0.3    2.7    3.4    0.8    0.1    0.3    0.7
 406.0    0.0    0.4    0.1    0.2    1.9    2.9    0.6    0.0    0.3    0.5
 417.0    0.0    0.3    0.1    0.1    1.4    2.4    0.4    0.0    0.2    0.4
 428.0    0.0    0.2    0.0    0.1    1.0    2.0    0.3    0.0    0.2    0.3
 440.0    0.0    0.1    0.0    0.1    0.7    1.7    0.2    0.0    0.1    0.3
 453.0    0.0    0.1    0.0    0.1    0.5    1.4    0.1    0.0    0.1    0.2
